,id,name,gpa,field_of_study,income
97,S00098,Megan Harris,2.51,Chemistry,160939
98,S00099,Stephanie Turner,3.59,Political Science,632634
99,S00100,Glenda Moore,2.09,Engineering,436325
100,S00101,Tiffany Shepherd,3.68,Law,85665
101,S00102,Andrea Gilbert,2.42,Business Administration,538667
102,S00103,Donna Williams,3.31,Psychology,742634
103,S00104,Pamela Moyer,3.08,Psychology,402250
104,S00105,Veronica Austin,2.64,Mathematics,598098
105,S00106,Ian Patterson,2.2,Law,726565
106,S00107,Thomas Estes,3.4,Biology,73446
107,S00108,Elizabeth Stanley,2.21,Business Administration,101769
108,S00109,Hermione Hernandez,2.87,Political Science,370350
109,S00110,Jimmy Ortiz,2.69,Biology,177122
110,S00111,Joseph Thomas,3.06,Mathematics,776693
111,S00112,Melinda Hill,3.54,Anthropology,298403
112,S00113,Thomas Smith,2.8,Law,278448
113,S00114,Erin Arnold,2.25,Political Science,388641
114,S00115,Hermione Martinez,2.35,Political Science,455200
115,S00116,Jeremy Richards,3.43,Art,425672
116,S00117,Elijah Kim,3.4,Business Administration,369426
117,S00118,Laurie Burke,2.58,Biology,531486
118,S00119,Kayla Gutierrez,2.81,Mathematics,35517
119,S00120,Chloe Munoz,2.7,Physics,86793
120,S00121,Valerie Lynn,3.88,Music,114608
121,S00122,Joshua Sutton,3.62,Political Science,460482
122,S00123,Samantha Tran,3.1,Engineering,513192
123,S00124,Christopher Fox,3.38,Business Administration,377779
124,S00125,Julie Anderson,2.41,Paralegal,384786
125,S00126,Linda Edwards,2.57,Chemistry,772858
126,S00127,Sara Jenkins,2.61,Anthropology,638370
127,S00128,Jeff Myers,3.72,Biology,640906
128,S00129,Leslie King,3.5,Mathematics,155108
129,S00130,Scott Garcia,2.69,Physics,504319
130,S00131,Christina Sharp,2.59,Physics,562931
131,S00132,Jerry Morris,2.01,Law,447644
132,S00133,Jennifer Peck,2.66,Computer Science,52673
133,S00134,Regina Beard,3.71,Political Science,84736
134,S00135,Erin Murphy,3.9,Statistics,58875
135,S00136,Lauren Robinson,3.47,Anthropology,655647
136,S00137,Christine Frazier,2.95,Business Administration,249554
137,S00138,Scott Jones,3.48,Anthropology,169524
138,S00139,Aaron Miller,2.45,Physics,596277
139,S00140,Charles Silva,2.74,Law,280334
140,S00141,Nicholas Atkinson,3.39,Economics,510018
141,S00142,Carol Gomez,3.05,Engineering,428582
142,S00143,Charles Smith,2.97,Paralegal,498044
143,S00144,Deanna Pennington,3.94,Business Administration,387803
144,S00145,Mary Michael,3.63,Anthropology,55278
145,S00146,Alexander Wilkins,3.71,Business Administration,229491
146,S00147,Johnny Woods,3.85,Psychology,350821
147,S00148,William Walker,3.58,Law,755287
148,S00149,Michelle Haynes,2.06,Music,176287
149,S00150,Jason Rhodes,2.86,Physics,614386
150,S00151,Emily Bell,2.8,Computer Science,676692
151,S00152,Jodi Martinez,3.49,Political Science,668139
152,S00153,Jessica Porter,2.89,Biology,378174
153,S00154,Tyler Fitzpatrick,2.86,Chemistry,690130
154,S00155,Melissa Collier,3.62,Economics,762330
155,S00156,Lance Bailey,3.65,Music,506814
156,S00157,Stephen Jackson,3.57,Computer Science,52410
157,S00158,Connie Mccall,3.65,Music,474247
158,S00159,Anthony Ortiz,3.24,Law,308759
159,S00160,Ernest Hoffman,3.44,Law,212442
160,S00161,Stephanie Shelton,2.24,Psychology,633415
161,S00162,Frank Mcmillan,3.17,Law,57096
162,S00163,Jeffrey Bowman,2.56,Physics,360013
163,S00164,Michael Holmes,3.33,Music,280410
164,S00165,Jeffrey Rice,2.94,Psychology,526143
165,S00166,David Lucas,3.82,Biology,697355
166,S00167,Cameron Dean,2.22,Biology,485010
167,S00168,Sandra James,2.9,Art,326828
168,S00169,Lisa Adams,2.18,Biology,413482
169,S00170,Douglas Dickerson,4.0,Business Administration,575418
170,S00171,Hermione Davis,2.9,Anthropology,60484
171,S00172,Alejandra Burnett,2.63,Law,20071
172,S00173,Adrian Thompson,3.63,Chemistry,111461
173,S00174,Annette Lambert,2.72,Physics,134798
174,S00175,Brian Mckenzie,2.74,Music,164229
175,S00176,Russell Caldwell,3.3,Mathematics,24818
176,S00177,Anthony Lyons,2.14,Music,342426
177,S00178,Rebecca Reid,3.68,Biology,360846
178,S00179,Todd Juarez,2.3,Chemistry,339350
179,S00180,Stephanie Carr,2.53,Chemistry,657484
180,S00181,Matthew Wilson,3.13,Art,33627
181,S00182,Linda Mooney,3.39,Engineering,592362
182,S00183,James Jones,2.61,Physics,99378
183,S00184,William Robinson,2.5,Music,679650
184,S00185,Omar White,3.25,Psychology,74967
185,S00186,Amanda Parks,2.5,Art,677297
186,S00187,Bradley Bailey,2.54,Art,749922
187,S00188,Robert Scott,3.9,Biology,216376
188,S00189,Carrie Foster,2.47,Engineering,412459
189,S00190,Kelsey Miller,3.63,Computer Science,28404
190,S00191,Brenda Doyle,2.28,Engineering,26070
191,S00192,Connie Watkins,2.3,Computer Science,476245
192,S00193,Joseph Lang,3.67,Computer Science,420093
193,S00194,Sarah Herring,3.67,Computer Science,195257
194,S00195,Michael Nguyen,2.7,Chemistry,686070
195,S00196,Elaine Carroll,3.45,Anthropology,751964
196,S00197,Nicole Garcia,2.24,Paralegal,263587
197,S00198,Kim Mills,2.75,Engineering,774223
198,S00199,Jenny Steele,3.7,Physics,80798
199,S00200,Mary Gonzalez,3.31,Statistics,235412
200,S00201,Marcus Douglas,3.33,Business Administration,70356
201,S00202,John Rich,3.07,Law,520025
202,S00203,Christopher Simpson,2.38,Mathematics,388224
203,S00204,Sandra Mcdaniel,3.74,Statistics,144430
204,S00205,William Bowen,2.85,Political Science,518527
205,S00206,Michael Kennedy,2.23,Music,159173
206,S00207,Steven Griffith,2.94,Statistics,710389
207,S00208,Megan Robertson,2.15,Art,619795
208,S00209,William Fuentes,3.9,Business Administration,406618
209,S00210,Vincent Wilson,2.02,Computer Science,643117
210,S00211,Ryan Bishop,2.22,Chemistry,127582
211,S00212,William Coleman,3.57,Chemistry,361083
212,S00213,Crystal Evans,3.72,Music,712778
213,S00214,Shannon Jones,3.26,Mathematics,239008
214,S00215,Tammie Dudley,3.78,Law,456878
215,S00216,Joe Logan,2.19,Biology,467262
216,S00217,Stephen Brown,3.89,Psychology,683950
217,S00218,Kaitlin Barker,3.66,Biology,761234
218,S00219,Hector Lopez,3.69,Biology,436408
219,S00220,Jennifer Moore,3.79,Chemistry,111948
220,S00221,David Garrett,2.61,Statistics,233248
221,S00222,Patricia Figueroa,3.74,Business Administration,602948
222,S00223,Richard Hanson,3.46,Paralegal,757404
223,S00224,Michael Lawrence,3.44,Anthropology,109792
224,S00225,Susan Greer,2.03,Mathematics,350342
225,S00226,Amy Price,2.55,Engineering,64732
226,S00227,Natasha Crawford,3.49,Engineering,589490
227,S00228,Andrew Stevens,2.49,Computer Science,491606
228,S00229,Peter Miller,3.83,Paralegal,373854
229,S00230,Amber Harper,2.73,Chemistry,648145
230,S00231,Selena Vaughn,2.25,Paralegal,609200
231,S00232,Benjamin Sanchez,2.88,Music,409506
232,S00233,Walter Brooks,3.53,Computer Science,62300
233,S00234,Maria Blackwell,3.04,Biology,380478
234,S00235,Angela Powers,3.01,Mathematics,211868
235,S00236,Juan Hayes,2.4,Computer Science,89921
236,S00237,Matthew Owen,2.78,Statistics,539452
237,S00238,Robert Campbell,3.02,Paralegal,89551
238,S00239,Steven Phillips,3.74,Paralegal,304732
239,S00240,Alexis Fitzgerald,2.38,Business Administration,51854
240,S00241,Angel Berry,3.71,Art,776085
241,S00242,Michelle Holt,2.16,Psychology,171084
242,S00243,Benjamin Stanley,3.29,Biology,100950
243,S00244,Mario Bates,3.26,Business Administration,66135
244,S00245,Tracey Ashley,2.81,Music,49046
245,S00246,Rachael Taylor,2.52,Anthropology,121978
246,S00247,Diana Smith,3.53,Law,113546
247,S00248,Don Wilcox,2.77,Computer Science,680140
248,S00249,Eric Cruz,3.26,Paralegal,584781
249,S00250,Brian Walter,2.43,Paralegal,316304
250,S00251,Cassandra Maldonado,2.67,Biology,408778
251,S00252,Heather Clarke,3.63,Business Administration,339284
252,S00253,Regina Lara,3.46,Statistics,710417
253,S00254,Matthew Taylor,3.07,Mathematics,683092
254,S00255,Brian Riddle,3.08,Statistics,694772
255,S00256,William Lindsey,2.52,Anthropology,779882
256,S00257,Raymond Smith,3.05,Anthropology,115330
257,S00258,Luis Cox,2.35,Psychology,741432
258,S00259,Matthew Bennett,3.99,Computer Science,785962
259,S00260,Jonathan West,2.42,Mathematics,478754
260,S00261,Austin Reynolds,2.59,Anthropology,219972
261,S00262,James Conner,2.29,Political Science,305565
262,S00263,James Ross,2.03,Music,33953
263,S00264,David Stafford,2.65,Engineering,711247
264,S00265,Julie Young,2.19,Engineering,518462
265,S00266,Felicia Nguyen,3.15,Chemistry,112172
266,S00267,Christopher Gross,3.16,Economics,131417
267,S00268,Stacy Tucker,3.14,Physics,114385
268,S00269,Madison Snyder,3.75,Paralegal,269686
269,S00270,Ashley Atkins,3.93,Economics,366912
270,S00271,Thomas Wilson,2.73,Computer Science,479411
271,S00272,Jennifer Richardson,2.98,Statistics,560153
272,S00273,Christopher Bowers,2.47,Statistics,630528
273,S00274,Rebecca Davis,2.41,Paralegal,693187
274,S00275,Carol Garrett,3.68,Computer Science,631104
275,S00276,James Gonzalez,3.84,Music,167058
276,S00277,Isaac Pierce,3.06,Paralegal,625709
277,S00278,Aaron Kaufman,3.12,Art,44247
278,S00279,Jeffrey Mendoza,3.41,Art,799239
279,S00280,Steven Brown,3.43,Engineering,383813
280,S00281,Wayne Harris,2.79,Engineering,215520
281,S00282,Michael Baker,2.69,Art,448744
282,S00283,Brittany Henderson,3.99,Psychology,83322
283,S00284,Thomas Davis,3.03,Engineering,143823
284,S00285,Keith Thomas,2.03,Business Administration,149902
285,S00286,Alicia White,3.89,Engineering,790885
286,S00287,Linda Pierce,3.7,Mathematics,488553
287,S00288,Kim Thompson,2.46,Engineering,345265
288,S00289,Erica Holt,3.94,Mathematics,550205
289,S00290,Theodore Barron,3.78,Paralegal,343236
290,S00291,Natalie Alvarez,3.15,Law,338410
291,S00292,Jacob Swanson,3.26,Art,209029
292,S00293,Rodney Bowman,3.14,Biology,549876
293,S00294,Autumn Brown,2.27,Computer Science,689920
294,S00295,Ashley Fritz,2.71,Engineering,288007
295,S00296,Megan Young,3.7,Physics,197569
296,S00297,Lisa Duke,3.94,Psychology,164850
297,S00298,Amanda Cooper,3.84,Art,672069
298,S00299,Veronica Jones,2.72,Art,444729
299,S00300,Eric Flores,3.6,Law,474031
300,S00301,Valerie Bishop,2.69,Mathematics,457291
301,S00302,Jeffrey Bird,2.13,Chemistry,491215
302,S00303,Joshua Frederick,3.39,Music,46988
303,S00304,Gregory Davis,3.79,Economics,442176
304,S00305,Jeff Wallace,2.92,Chemistry,356546
305,S00306,Ann Gates,2.95,Business Administration,63896
306,S00307,Mike Leon,2.34,Psychology,572412
307,S00308,Wendy Jackson,3.69,Paralegal,118247
308,S00309,Kelly Williams,3.93,Physics,689367
309,S00310,Jessica Cooper,2.67,Law,462511
310,S00311,Gary Diaz,3.48,Biology,450392
311,S00312,Barbara Gray,2.74,Statistics,102507
312,S00313,Mark Rivers,2.28,Psychology,105858
313,S00314,Stephanie Morrow,3.27,Economics,257588
314,S00315,Mark Henderson,2.41,Paralegal,663572
315,S00316,Natalie Price,3.45,Political Science,115572
316,S00317,Barry Martin,3.23,Music,409981
317,S00318,Linda Kennedy,3.14,Statistics,302989
318,S00319,Gavin Rodriguez,3.13,Political Science,581551
319,S00320,Kathryn Palmer,3.7,Paralegal,224343
320,S00321,Angela Johnson,2.03,Art,196435
321,S00322,Terri Martin,2.39,Law,670772
322,S00323,Richard Hart,2.71,Statistics,125212
323,S00324,Matthew Gomez,2.53,Political Science,395042
324,S00325,Kendra Montgomery,3.3,Biology,535785
325,S00326,Shane Baker,3.4,Anthropology,38117
326,S00327,Candace Dorsey,2.66,Paralegal,176661
327,S00328,Thomas Cox,2.73,Computer Science,124631
328,S00329,Angela Alexander,3.22,Mathematics,71527
329,S00330,Katie Peterson,3.18,Physics,410968
330,S00331,Jasmine Thomas,2.68,Economics,630845
331,S00332,Michael Richard,3.64,Paralegal,562515
332,S00333,Chad Simpson,2.58,Mathematics,65565
333,S00334,Matthew Bradshaw,3.65,Mathematics,101315
334,S00335,Christine Meadows,2.16,Anthropology,248545
335,S00336,Michael Soto,3.07,Law,421883
336,S00337,Christopher Mclaughlin,2.17,Music,633831
337,S00338,Sara Lewis,3.72,Music,194028
338,S00339,Diana Hill,2.56,Music,365934
339,S00340,George Peterson,3.66,Political Science,687733
340,S00341,Bruce Bailey,3.87,Engineering,72143
341,S00342,Mike Chavez,2.29,Computer Science,712702
342,S00343,Samantha Robles,3.19,Computer Science,52048
343,S00344,Melissa Larsen,3.05,Political Science,183588
344,S00345,Dennis Eaton,3.83,Physics,90048
345,S00346,Shari Campbell,2.08,Engineering,468143
346,S00347,Kimberly May,2.82,Political Science,242277
347,S00348,Victor Peterson,3.78,Statistics,281368
348,S00349,Kimberly Trevino,2.27,Biology,280783
349,S00350,Thomas Jones,2.34,Paralegal,600815
350,S00351,Nathan Pearson,3.79,Chemistry,603980
351,S00352,Lauren Duncan,3.81,Physics,288431
352,S00353,Laura Brown,2.0,Mathematics,230992
353,S00354,Michael Morgan,2.1,Computer Science,412992
354,S00355,Alex Cross,3.58,Mathematics,526526
355,S00356,Leslie Anderson,2.0,Paralegal,667712
356,S00357,Michael Skinner,2.3,Statistics,613800
357,S00358,Seth Butler,3.85,Law,647214
358,S00359,Hunter Johnson,3.74,Paralegal,454327
359,S00360,Trevor Pennington,3.17,Physics,337960
360,S00361,Jennifer Hurst,3.44,Computer Science,799591
361,S00362,Debra Gallagher,3.84,Biology,250209
362,S00363,Lindsay Ramirez,2.7,Psychology,121035
363,S00364,Walter Davis,3.99,Engineering,395369
364,S00365,Lisa White,2.82,Chemistry,151741
365,S00366,Christine Miller,2.7,Business Administration,633611
366,S00367,Travis Johnson,3.09,Economics,172987
367,S00368,Phillip Walsh,3.32,Statistics,50389
368,S00369,Charles Hubbard,2.42,Art,330315
369,S00370,Alicia Banks,3.09,Art,354028
370,S00371,Chelsea Munoz,2.72,Business Administration,612677
371,S00372,David Avila,3.52,Economics,438546
372,S00373,Jerry Smith,2.3,Biology,795505
373,S00374,Jeff Gomez,2.21,Business Administration,413542
374,S00375,Joshua Harris,3.83,Chemistry,372077
375,S00376,James Coleman,2.26,Engineering,782421
376,S00377,Kimberly Singh,2.94,Physics,142990
377,S00378,Brian Miles,3.49,Physics,359038
378,S00379,Parker Moore,3.11,Law,566705
379,S00380,Megan Moore,2.3,Political Science,738545
380,S00381,Denise Hunt,3.48,Law,60699
381,S00382,Hermione Short,2.95,Political Science,162595
382,S00383,Catherine Green,3.85,Music,89387
383,S00384,Joy Parker,2.19,Political Science,211179
384,S00385,Aaron James,2.95,Art,458517
385,S00386,Isabel Mcmahon,3.51,Political Science,275949
386,S00387,Michael Contreras,3.29,Mathematics,773549
387,S00388,Crystal Cordova,3.58,Chemistry,53663
388,S00389,Melvin Henderson,2.55,Paralegal,504943
389,S00390,Stacy Dudley,3.56,Engineering,244184
390,S00391,Steven Ramirez,2.78,Art,648820
391,S00392,Kristen Edwards,3.1,Art,384954
392,S00393,Colleen Cunningham,3.8,Chemistry,309176
393,S00394,James Ray,2.74,Chemistry,332345
394,S00395,Amanda Mack,2.74,Paralegal,702643
395,S00396,James Davis,3.98,Paralegal,777001
396,S00397,Walter Bell,3.75,Paralegal,273716
397,S00398,James Dixon,3.76,Economics,643828
398,S00399,Tina Adams,2.72,Political Science,418202
399,S00400,Mario Anderson,2.64,Engineering,590497
400,S00401,Leslie Medina,2.04,Economics,452075
401,S00402,Frederick Mathis,3.16,Computer Science,228949
402,S00403,Jason Martin,2.06,Computer Science,327841
403,S00404,Marie Adams,2.44,Mathematics,229427
404,S00405,Amanda Taylor,2.06,Economics,200514
405,S00406,Michael Valentine,3.1,Art,268759
406,S00407,Shannon Castillo,2.77,Anthropology,102821
407,S00408,Henry Frank,3.14,Physics,731976
408,S00409,Christopher Hawkins,3.55,Business Administration,371251
409,S00410,Tyler Mosley,3.68,Statistics,289782
410,S00411,Anthony Davis,2.18,Law,764320
411,S00412,Aaron Greene,3.51,Physics,170625
412,S00413,Kimberly Thomas,3.93,Business Administration,643790
413,S00414,Amber Stevenson,3.51,Psychology,758719
414,S00415,Joshua Green,3.83,Music,777166
415,S00416,Scott Roman,3.27,Art,406105
416,S00417,Derek Anderson,3.99,Business Administration,185812
417,S00418,Todd Bishop,2.83,Chemistry,494327
418,S00419,Kevin Perry,2.36,Chemistry,316709
419,S00420,Jerry Lewis,2.49,Anthropology,262987
420,S00421,Christina Thomas,2.19,Anthropology,614701
421,S00422,Jeremy Pugh,3.35,Business Administration,215192
422,S00423,Michael Goodwin,3.84,Law,469910
423,S00424,Jonathan Brown,3.2,Music,338279
424,S00425,Kimberly Allen,2.67,Psychology,264436
425,S00426,Gabrielle Smith,2.68,Psychology,549916
426,S00427,Megan Young,3.3,Anthropology,307126
427,S00428,Edward Brown,2.26,Biology,535359
428,S00429,Julie Malone,2.4,Engineering,172257
429,S00430,Annette Watkins,2.92,Art,298438
430,S00431,Justin Hall,2.15,Chemistry,404841
431,S00432,Seth Larson,2.36,Music,671812
432,S00433,Jason Crawford,3.41,Anthropology,663392
433,S00434,Steven Smith,2.59,Anthropology,401148
434,S00435,Jason Schultz,2.31,Biology,287308
435,S00436,Leslie Smith,3.04,Paralegal,376046
436,S00437,Laura Martin,3.27,Engineering,591110
437,S00438,Dorothy Brown,3.0,Computer Science,222564
438,S00439,William Weber,2.63,Chemistry,595184
439,S00440,Dana Howard,3.25,Music,780640
440,S00441,Zachary Koch,2.82,Chemistry,150275
441,S00442,Robert Wade,2.04,Art,596353
442,S00443,Rebecca Mckee,3.96,Music,434561
443,S00444,Shelby Curtis,3.06,Music,725320
444,S00445,Patrick White,3.16,Psychology,589738
445,S00446,Denise Ramirez,3.7,Art,615466
446,S00447,Roger Cox,3.92,Psychology,254851
447,S00448,Andrea Adkins,2.74,Music,728973
448,S00449,Kaylee Guerrero,2.76,Business Administration,47313
449,S00450,Kim Wong,2.45,Mathematics,60769
450,S00451,Barbara Middleton,3.52,Engineering,627185
451,S00452,Christopher Cook,2.44,Paralegal,612856
452,S00453,Daniel Flores,3.85,Biology,747898
453,S00454,Christopher Gardner,2.52,Statistics,599475
454,S00455,Virginia Bass,3.74,Mathematics,332474
455,S00456,Ricardo Matthews,3.76,Chemistry,48271
456,S00457,Lisa Morgan,3.28,Paralegal,400234
457,S00458,Tyler Combs,2.16,Biology,297955
458,S00459,Raymond Santos,3.28,Mathematics,789119
459,S00460,Thomas Spencer,2.62,Chemistry,98399
460,S00461,Michael House,3.82,Art,660975
461,S00462,Ruben Hill,3.01,Psychology,285805
462,S00463,Sarah Ramirez,2.59,Biology,485937
463,S00464,Chelsea Martinez,3.33,Psychology,619926
464,S00465,Chad Hunt,3.2,Economics,383358
465,S00466,Ian Simmons,3.91,Chemistry,29877
466,S00467,Michael White,2.31,Chemistry,361886
467,S00468,Andrew Brewer,3.21,Engineering,725627
468,S00469,Kristina Walton,3.19,Music,787663
469,S00470,Chris Thompson,3.1,Engineering,529769
470,S00471,Scott Elliott,2.05,Computer Science,461146
471,S00472,Megan Walker,2.05,Mathematics,129463
472,S00473,Judy Humphrey,2.15,Music,546503
473,S00474,Cathy Elliott,3.69,Law,92427
474,S00475,Tiffany Gonzalez,3.9,Business Administration,772164
475,S00476,Jessica Wyatt,2.92,Physics,471199
476,S00477,Joshua Spence,3.55,Psychology,196091
477,S00478,Richard Hill,2.64,Business Administration,756856
478,S00479,Shirley Rodriguez,3.77,Engineering,553326
479,S00480,Jacqueline Waters,3.95,Mathematics,562293
480,S00481,Shannon Williams,3.5,Chemistry,32335
481,S00482,Leslie Bailey,3.09,Economics,619470
482,S00483,Brandon Wilson,3.09,Physics,542420
483,S00484,Kelly Rogers,2.98,Art,601586
484,S00485,Arthur Garza,3.71,Psychology,181606
485,S00486,Jason Bright,2.76,Music,666841
486,S00487,Brandy Harris,2.32,Physics,675568
487,S00488,Willie Orozco,3.16,Music,357265
488,S00489,Daniel Jackson,3.22,Law,213626
489,S00490,Jennifer Shannon,3.05,Music,662035
490,S00491,Richard Chase,2.99,Anthropology,585929
491,S00492,Eric Davis,2.36,Mathematics,722327
492,S00493,Luke Griffin,2.07,Art,453852
493,S00494,Savannah Zuniga,3.45,Political Science,716938
494,S00495,David Fowler,2.08,Economics,522042
495,S00496,Ricardo Graham,3.59,Chemistry,429402
496,S00497,James Mcdonald,2.7,Computer Science,267043
497,S00498,Tammy Mason,2.19,Anthropology,768371
498,S00499,Erin Butler,2.47,Computer Science,593844
499,S00500,Judy Jones,3.64,Mathematics,700868
500,S00501,Douglas Bryant,2.98,Political Science,389600
501,S00502,Debra Carlson,2.24,Biology,513132
502,S00503,Susan Thomas,3.51,Anthropology,540517
503,S00504,Tracy Stone,2.36,Music,289625
504,S00505,Debra Foley,3.86,Chemistry,400614
505,S00506,Tanya Frye,3.74,Physics,172122
506,S00507,Kyle Callahan,3.99,Art,167359
507,S00508,Kelly Robinson,3.77,Computer Science,249937
508,S00509,Krystal Williams,2.17,Statistics,632729
509,S00510,Zachary Hodges,3.14,Anthropology,55893
510,S00511,Tiffany Bell,2.66,Law,250680
511,S00512,Isaac Mcfarland,3.79,Computer Science,303451
512,S00513,Aaron Sims,3.54,Anthropology,732690
513,S00514,Dana Bryan,2.59,Paralegal,772367
514,S00515,John Jones,2.5,Music,356086
515,S00516,Beth Burgess,2.96,Business Administration,311397
516,S00517,Caitlin Hernandez,2.59,Music,558863
517,S00518,David Fitzpatrick,2.99,Law,655743
518,S00519,Melinda Stark,3.8,Biology,724987
519,S00520,Robert Garcia,3.9,Psychology,765144
520,S00521,Eric Mcneil,2.2,Chemistry,616776
521,S00522,Julian Gardner,3.35,Paralegal,248336
522,S00523,Michelle Medina,2.59,Business Administration,479991
523,S00524,Kristine Morgan,3.92,Computer Science,448439
524,S00525,Barbara Strickland,3.25,Mathematics,471227
525,S00526,Emily Turner,2.05,Music,35925
526,S00527,Paul Mcguire,2.46,Anthropology,468559
527,S00528,Joseph Bradshaw,3.81,Music,338475
528,S00529,Jennifer Johnson,3.71,Art,381425
529,S00530,Jessica Brown,3.99,Anthropology,67322
530,S00531,Joshua Sawyer,2.45,Psychology,620439
531,S00532,Jeremy Crawford,2.21,Political Science,319476
532,S00533,Eric Martin,3.83,Statistics,606650
